stop,lat,long
Causton Road,51.89518,0.89575
The Albert,51.89682,0.89547
Railway Station Layby,51.89965,0.89489
Bruff Close,51.90235,0.89618
Turner Rise,51.9044,0.90105
Wryneck Close,51.90722,0.9027
General Hospital - main Rd,51.9099,0.90234
Kingswood Road,51.91238,0.90191
Thornwood,51.91506,0.90089
Bedford Road,51.91672,0.90424
The Water Tower,51.91978,0.91
Julian Avenue,51.92143,0.91557
Matchett Drive,51.92226,0.91822
Newcomen Way,51.91946,0.92109
Oyster Business Park,51.91798,0.92252
Brinkley Lane,51.91628,0.92273
Regents Close,51.91534,0.92219
Berkley Close,51.9135,0.92349
Derwent Road,51.91228,0.92295
Baronia Croft,51.90868,0.92158
Pinecroft Gardens,51.90754,0.91765
Victoria Gardens,51.90959,0.91485
Spindle Wood,51.91164,0.91501
Highwood Square,51.91048,0.91805
